title,genre,year,picture
Restoration,Drama,1995,http://content6.flixster.com/movie/27/04/270404_det.jpg
Mortal Kombat,Action,1995,http://content9.flixster.com/movie/25/63/256395_det.jpg
Live Free or Die Hard,Comedy,2007,http://content8.flixster.com/movie/10/93/34/10933482_det.jpg
How to Make an American Quilt,Drama,1995,http://content8.flixster.com/movie/10/86/75/10867514_det.jpg
Shichinin no samurai,Crime,1954,http://content7.flixster.com/movie/39/91/08/3991085_det.jpg
Pocahontas,Animation,1995,http://content6.flixster.com/movie/25/15/251508_det.jpg
When Night Is Falling,Drama,1995,http://content6.flixster.com/movie/10/89/77/10897780_det.jpg
The Usual Suspects,Crime,1995,http://content7.flixster.com/movie/24/63/48/2463485_det.jpg
Mighty Aphrodite,Comedy,1995,http://content7.flixster.com/movie/10/84/18/10841893_det.jpg
Lamerica,Adventure,1994,http://content6.flixster.com/movie/29/78/297800_det.jpg
Kids of the Round Table,Adventure,1997,http://content7.flixster.com/movie/10/85/20/10852069_det.jpg
Home for the Holidays,Drama,1995,http://content6.flixster.com/movie/25/43/254392_det.jpg
Il postino,Comedy,1994,http://content8.flixster.com/movie/10/86/74/10867406_det.jpg
Le confessionnal,Drama,1995,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
The Indian in the Cupboard,Adventure,1995,http://content9.flixster.com/movie/25/78/257803_det.jpg
Eye for an Eye,Drama,1996,http://content8.flixster.com/movie/10/99/01/10990146_det.jpg
Mr. Holland's Opus,Drama,1995,http://content8.flixster.com/movie/10/58/42/10584210_det.jpg
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996,http://content8.flixster.com/movie/28/69/286926_det.jpg
Two If by Sea,Comedy,1996,http://content6.flixster.com/movie/27/80/278004_det.jpg
Bio-Dome,Comedy,1996,http://content6.flixster.com/movie/25/94/259420_det.jpg
Lawnmower Man 2: Beyond Cyberspace,Action,1996,http://content7.flixster.com/movie/10/86/80/10868017_det.jpg
Gazon maudit,Comedy,1995,http://content7.flixster.com/movie/27/76/277609_det.jpg
Friday,Comedy,1995,http://content7.flixster.com/movie/10/88/03/10880345_det.jpg
From Dusk Till Dawn,Action,1996,http://content9.flixster.com/movie/62/82/01/6282011_det.jpg
Fair Game,Action,1995,http://content8.flixster.com/movie/27/69/276994_det.jpg
Kicking & Screaming,Comedy,2005,http://content9.flixster.com/movie/24/97/249715_det.jpg
Les misérables,Drama,1998,http://content9.flixster.com/movie/25/51/255107_det.jpg
Bed of Roses,Drama,1996,http://content9.flixster.com/movie/25/92/259203_det.jpg
Screamers,Action,1995,http://content7.flixster.com/movie/27/23/272301_det.jpg
The Crossing Guard,Drama,1995,http://content7.flixster.com/movie/27/69/276905_det.jpg
The Juror,Drama,1996,http://content6.flixster.com/movie/27/93/279316_det.jpg
Things to Do in Denver When You're Dead,Crime,1995,http://content8.flixster.com/movie/27/06/270606_det.jpg
Antonia,Comedy,1995,http://content6.flixster.com/movie/28/20/282096_det.jpg
Once Upon a Time... When We Were Colored,Drama,1995,http://content8.flixster.com/movie/10/92/29/10922994_det.jpg
Angels and Insects,Drama,1995,http://content6.flixster.com/movie/10/89/39/10893928_det.jpg
White Squall,Adventure,1996,http://content9.flixster.com/movie/10/90/52/10905259_det.jpg
Dunston Checks In,Children,1996,http://content8.flixster.com/movie/10/85/22/10852206_det.jpg
Black Sheep,Comedy,2006,http://content6.flixster.com/movie/58/07/67/5807672_det.jpg
Nick of Time,Action,1995,http://content9.flixster.com/movie/10/84/01/10840163_det.jpg
The Journey of August King,Drama,1995,http://content8.flixster.com/movie/26/54/265406_det.jpg
Vampire in Brooklyn,Comedy,1995,http://content7.flixster.com/movie/10/88/64/10886457_det.jpg
Beautiful Girls,Comedy,1996,http://content7.flixster.com/movie/10/84/53/10845361_det.jpg
Broken Arrow,Action,1996,http://content6.flixster.com/movie/27/12/271208_det.jpg
La haine,Drama,1995,http://content8.flixster.com/movie/10/84/15/10841502_det.jpg
City Hall,Drama,1996,http://content8.flixster.com/movie/27/59/275902_det.jpg
Bottle Rocket,Adventure,1996,http://content6.flixster.com/movie/26/73/267324_det.jpg
Mr. Wrong,Comedy,1996,http://content8.flixster.com/movie/10/92/04/10920478_det.jpg
Happy Gilmore,Comedy,1996,http://content7.flixster.com/movie/25/96/259613_det.jpg
The Bridges of Madison County,Drama,1995,http://content6.flixster.com/movie/10/92/73/10927328_det.jpg
Muppet Treasure Island,Adventure,1996,http://content6.flixster.com/movie/10/88/15/10881572_det.jpg
Braveheart,Action,1995,http://content9.flixster.com/movie/16/90/54/1690543_det.jpg
Taxi Driver,Crime,1976,http://content9.flixster.com/movie/10/91/39/10913987_det.jpg
Hung fan kui,Action,1995,http://content6.flixster.com/movie/10/88/62/10886212_det.jpg
Before and After,Drama,1996,http://content8.flixster.com/movie/26/53/265310_det.jpg
Margaret's Museum,Drama,1995,http://content7.flixster.com/movie/10/43/62/10436297_det.jpg
Anne Frank Remembered,Documentary,1995,http://content9.flixster.com/movie/10/87/14/10871419_det.jpg
The Young Poisoner's Handbook,Crime,1995,http://content8.flixster.com/movie/52/63/47/5263478_det.jpg
If Lucy Fell,Comedy,1996,http://content7.flixster.com/movie/10/36/17/10361777_det.jpg
The Boys of St. Vincent,Drama,1992,http://content7.flixster.com/movie/11/12/44/11124449_det.jpg
Boomerang,Comedy,1992,http://content6.flixster.com/movie/26/81/268128_det.jpg
Chung Hing sam lam,Drama,1994,http://content6.flixster.com/movie/10/85/69/10856936_det.jpg
Flirting with Disaster,Comedy,1996,http://content9.flixster.com/movie/92/18/93/9218931_det.jpg
The Neverending Story III,Adventure,1994,http://content9.flixster.com/movie/10/88/07/10880743_det.jpg
The Curse of the Jade Scorpion,Thriller,2001,http://content6.flixster.com/movie/26/26/262600_det.jpg
Down Periscope,Comedy,1996,http://content9.flixster.com/movie/25/41/254115_det.jpg
From the Journals of Jean Seberg,Documentary,1995,http://content8.flixster.com/movie/10/87/54/10875446_det.jpg
Up Close & Personal,Drama,1996,http://content9.flixster.com/movie/25/89/258991_det.jpg
The Birdcage,Comedy,1996,http://content9.flixster.com/movie/26/71/267195_det.jpg
The Brothers McMullen,Comedy,1995,http://content8.flixster.com/movie/10/87/96/10879638_det.jpg
Bad Boys,Action,1995,http://content8.flixster.com/movie/28/27/282798_det.jpg
The Amazing Panda Adventure,Adventure,1995,http://content9.flixster.com/movie/11/15/28/11152831_det.jpg
The Basketball Diaries,Drama,1995,http://content7.flixster.com/movie/10/93/25/10932577_det.jpg
Apollo 13,Adventure,1995,http://content7.flixster.com/movie/10/93/70/10937057_det.jpg
Rob Roy,Action,1995,http://content9.flixster.com/movie/26/89/268991_det.jpg
Basic Instinct 2,Drama,2006,http://content8.flixster.com/movie/10/89/83/10898386_det.jpg
Batman Forever,Action,1995,http://content7.flixster.com/movie/55/34/97/5534977_det.jpg
Belle de jour,Drama,1967,http://content9.flixster.com/movie/10/86/32/10863255_det.jpg
Beyond Rangoon,Adventure,1995,http://content8.flixster.com/movie/10/86/97/10869758_det.jpg
Blue in the Face,Comedy,1995,http://content8.flixster.com/movie/27/68/276818_det.jpg
Canadian Bacon,Comedy,1995,http://content7.flixster.com/movie/26/00/260017_det.jpg
Casper,Adventure,1995,http://content9.flixster.com/movie/31/28/312827_det.jpg
Clockers,Crime,1995,http://content8.flixster.com/movie/10/84/06/10840642_det.jpg
Congo,Action,1995,http://content7.flixster.com/movie/25/85/258597_det.jpg
Crimson Tide,Drama,1995,http://content7.flixster.com/movie/26/84/268417_det.jpg
Crumb,Documentary,1994,http://content7.flixster.com/movie/27/41/274197_det.jpg
Desperado,Action,1995,http://content6.flixster.com/movie/10/87/27/10872728_det.jpg
Devil in a Blue Dress,Crime,1995,http://content9.flixster.com/movie/27/13/271303_det.jpg
Die Hard: With a Vengeance,Action,1995,http://content8.flixster.com/movie/10/93/34/10933486_det.jpg
First Knight,Action,1995,http://content9.flixster.com/movie/84/22/90/8422907_det.jpg
Free Willy 2: The Adventure Home,Adventure,1995,http://content9.flixster.com/movie/26/44/264407_det.jpg
Hackers,Action,1995,http://content7.flixster.com/movie/25/64/256409_det.jpg
Johnny Mnemonic,Action,1995,http://content7.flixster.com/movie/28/53/285317_det.jpg
Judge Dredd,Action,1995,http://content9.flixster.com/movie/27/05/270591_det.jpg
Jury Duty,Comedy,1995,http://content6.flixster.com/movie/10/50/99/10509940_det.jpg
Kids,Drama,1995,http://content6.flixster.com/movie/10/89/38/10893852_det.jpg
Living in Oblivion,Comedy,1995,http://content6.flixster.com/movie/10/87/12/10871220_det.jpg
Lord of Illusions,Horror,1995,http://content9.flixster.com/movie/28/75/287599_det.jpg
Mallrats,Comedy,1995,http://content6.flixster.com/movie/11/15/34/11153460_det.jpg
Mighty Morphin Power Rangers: The Movie,Action,1995,http://content8.flixster.com/movie/26/01/260110_det.jpg
The Net,Action,1995,http://content9.flixster.com/movie/68/77/57/6877579_det.jpg
Nine Months,Comedy,1995,http://content7.flixster.com/movie/10/91/49/10914937_det.jpg
Party Girl,Comedy,1995,http://content8.flixster.com/movie/10/85/91/10859166_det.jpg
The Prophecy,Fantasy,1995,http://content6.flixster.com/movie/26/79/267992_det.jpg
Fail-Safe,Thriller,1964,http://content9.flixster.com/movie/29/23/292315_det.jpg
The Scarlet Letter,Drama,1995,http://content7.flixster.com/movie/10/86/16/10861633_det.jpg
Showgirls,Drama,1995,http://content8.flixster.com/movie/28/55/285598_det.jpg
Smoke,Comedy,1995,http://content7.flixster.com/movie/27/30/273025_det.jpg
Something to Talk About,Comedy,1995,http://content8.flixster.com/movie/93/24/35/9324358_det.jpg
Species,Horror,1995,http://content7.flixster.com/movie/66/42/83/6642833_det.jpg
The Stars Fell on Henrietta,Drama,1995,http://content7.flixster.com/movie/10/85/18/10851893_det.jpg
Strange Days,Action,1995,http://content8.flixster.com/movie/27/10/271010_det.jpg
Les parapluies de Cherbourg,Drama,1964,http://content9.flixster.com/movie/30/89/308923_det.jpg
"To Wong Foo Thanks for Everything, Julie Newmar",Comedy,1995,http://content9.flixster.com/movie/10/88/06/10880663_det.jpg
Under Siege 2: Dark Territory,Action,1995,http://content6.flixster.com/movie/27/23/272392_det.jpg
Unstrung Heroes,Comedy,1995,http://content8.flixster.com/movie/26/44/264406_det.jpg
Unzipped,Documentary,1995,http://content6.flixster.com/movie/10/86/36/10863660_det.jpg
A Walk in the Clouds,Drama,1995,http://content7.flixster.com/movie/10/89/20/10892013_det.jpg
Waterworld,Action,1995,http://content9.flixster.com/movie/25/75/257591_det.jpg
White Man's Burden,Drama,1995,http://content7.flixster.com/movie/27/54/275405_det.jpg
Wild Bill,Western,1995,\N
The Browning Version,Drama,1951,http://content7.flixster.com/movie/10/83/88/10838841_det.jpg
Bushwhacked,Adventure,1995,http://content9.flixster.com/movie/91/58/09/9158095_det.jpg
Before the Rain,Drama,1994,http://content6.flixster.com/movie/10/89/78/10897876_det.jpg
Before Sunrise,Drama,1995,http://content7.flixster.com/movie/10/85/60/10856081_det.jpg
Billy Madison,Comedy,1995,http://content6.flixster.com/movie/26/12/261212_det.jpg
Boys on the Side,Comedy,1995,http://content6.flixster.com/movie/27/12/271228_det.jpg
Circle of Friends,Drama,1995,http://content7.flixster.com/movie/10/91/53/10915357_det.jpg
Clerks.,Comedy,1994,http://content8.flixster.com/movie/10/93/69/10936950_det.jpg
Don Juan DeMarco,Comedy,1994,http://content9.flixster.com/movie/25/52/255207_det.jpg
Disclosure,Drama,1994,http://content8.flixster.com/movie/27/42/274202_det.jpg
Drop Zone,Action,1994,http://content9.flixster.com/movie/27/31/273103_det.jpg
Death and the Maiden,Drama,1994,http://content9.flixster.com/movie/10/92/35/10923515_det.jpg
Dolores Claiborne,Drama,1995,http://content6.flixster.com/movie/26/92/269216_det.jpg
Dumb & Dumber,Comedy,1994,http://content6.flixster.com/movie/25/45/254516_det.jpg
Yin shi nan nu,Comedy,1994,http://content8.flixster.com/movie/28/62/286218_det.jpg
Exotica,Drama,1994,http://content8.flixster.com/movie/27/34/273426_det.jpg
Ed Wood,Comedy,1994,http://content9.flixster.com/movie/10/88/97/10889755_det.jpg
French Kiss,Action,1995,http://content6.flixster.com/movie/10/83/82/10838220_det.jpg
Forget Paris,Comedy,1995,http://content7.flixster.com/movie/25/90/259029_det.jpg
Far from Home: The Adventures of Yellow Dog,Adventure,1995,http://content8.flixster.com/movie/26/37/263710_det.jpg
A Goofy Movie,Animation,1995,http://content6.flixster.com/movie/25/16/251608_det.jpg
Hoop Dreams,Documentary,1994,http://content6.flixster.com/movie/76/93/769348_det.jpg
Heavenly Creatures,Crime,1994,http://content9.flixster.com/movie/10/90/75/10907555_det.jpg
Houseguest,Comedy,1995,http://content7.flixster.com/movie/26/06/260693_det.jpg
Immortal Beloved,Drama,1994,http://content7.flixster.com/movie/26/75/267513_det.jpg
Heavy Weights,Children,1995,http://content6.flixster.com/movie/10/93/03/10930316_det.jpg
The Hunted,Action,2003,http://content9.flixster.com/movie/11/13/64/11136427_det.jpg
I.Q.,Comedy,1994,http://content8.flixster.com/movie/10/91/74/10917466_det.jpg
Interview with the Vampire: The Vampire Chronicles,Drama,1994,http://content6.flixster.com/movie/28/01/280124_det.jpg
The Jerky Boys,Comedy,1995,http://content8.flixster.com/movie/62/23/13/6223134_det.jpg
Junior,Comedy,1994,http://content8.flixster.com/movie/10/84/29/10842998_det.jpg
Just Cause,Mystery,1995,http://content8.flixster.com/movie/10/87/09/10870958_det.jpg
A Kid in King Arthur's Court,Adventure,1995,http://content9.flixster.com/movie/26/31/263115_det.jpg
Kiss of Death,Crime,1995,http://content6.flixster.com/movie/27/76/277616_det.jpg
Star Wars,Action,1977,http://content9.flixster.com/movie/10/94/47/10944715_det.jpg
Little Women,Drama,1994,http://content7.flixster.com/movie/10/86/52/10865225_det.jpg
A Little Princess,Children,1995,http://content6.flixster.com/movie/29/07/290716_det.jpg
Ladybird Ladybird,Drama,1994,http://content9.flixster.com/movie/92/74/35/9274359_det.jpg
Como agua para chocolate,Drama,1992,http://content9.flixster.com/movie/10/89/25/10892515_det.jpg
Legends of the Fall,Drama,1994,http://content6.flixster.com/movie/10/90/03/10900344_det.jpg
Major Payne,Comedy,1995,http://content9.flixster.com/movie/25/69/256903_det.jpg
Little Odessa,Drama,1994,http://content9.flixster.com/movie/28/36/283627_det.jpg
Love Affair,Drama,1994,http://content8.flixster.com/movie/25/75/257510_det.jpg
The Madness of King George,Comedy,1994,http://content6.flixster.com/movie/10/88/81/10888184_det.jpg
Frankenstein,Drama,1931,http://content8.flixster.com/movie/28/83/288310_det.jpg
Man of the House,Comedy,2005,http://content9.flixster.com/movie/10/91/27/10912719_det.jpg
Mixed Nuts,Comedy,1994,http://content9.flixster.com/movie/10/93/94/10939467_det.jpg
Milk Money,Comedy,1994,http://content7.flixster.com/movie/25/98/259809_det.jpg
Miracle on 34th Street,Drama,1947,http://content7.flixster.com/movie/29/05/290513_det.jpg
Miami Rhapsody,Comedy,1995,http://content6.flixster.com/movie/26/49/264916_det.jpg
My Family,Drama,1995,http://content8.flixster.com/movie/26/95/269594_det.jpg
Murder in the First,Drama,1995,http://content6.flixster.com/movie/27/53/275304_det.jpg
Nobody's Fool,Comedy,1986,http://content6.flixster.com/movie/26/56/265692_det.jpg
Nell,Drama,1994,http://content8.flixster.com/movie/25/69/256906_det.jpg
Nina Takes a Lover,Comedy,1994,http://content8.flixster.com/movie/62/32/18/6232186_det.jpg
Natural Born Killers,Action,1994,http://content8.flixster.com/movie/10/88/54/10885402_det.jpg
Only You,Comedy,1994,http://content9.flixster.com/movie/25/51/255111_det.jpg
Once Were Warriors,Crime,1994,http://content7.flixster.com/movie/29/03/290325_det.jpg
Poison Ivy II,Drama,1996,http://content6.flixster.com/movie/27/08/270820_det.jpg
Outbreak,Action,1995,http://content7.flixster.com/movie/55/37/06/5537065_det.jpg
Léon,Crime,1994,http://content7.flixster.com/movie/28/62/286221_det.jpg
The Perez Family,Comedy,1995,http://content9.flixster.com/movie/27/83/278323_det.jpg
Pulp Fiction,Comedy,1994,http://content9.flixster.com/movie/10/88/65/10886599_det.jpg
Tui shou,Comedy,1992,http://content8.flixster.com/movie/10/84/00/10840038_det.jpg
Priest,Drama,1994,http://content9.flixster.com/movie/11/12/75/11127515_det.jpg
Quiz Show,Drama,1994,http://content6.flixster.com/movie/25/87/258704_det.jpg
La reine Margot,Drama,1994,http://content7.flixster.com/movie/10/88/68/10886821_det.jpg
The Quick and the Dead,Action,1995,http://content8.flixster.com/movie/27/21/272198_det.jpg
Roommates,Comedy,1995,http://content7.flixster.com/movie/26/08/260809_det.jpg
Prêt-à-Porter,Comedy,1994,http://content6.flixster.com/movie/27/50/275000_det.jpg
Trois couleurs: Rouge,Drama,1994,http://content7.flixster.com/movie/10/87/54/10875473_det.jpg
Trois couleurs: Bleu,Drama,1993,http://content7.flixster.com/movie/11/12/07/11120777_det.jpg
Trzy kolory: Bialy,Comedy,1994,http://content8.flixster.com/movie/10/87/62/10876274_det.jpg
Pao Da Shuang Deng,Drama,1994,http://content9.flixster.com/movie/10/89/26/10892695_det.jpg
Stuart Saves His Family,Comedy,1995,http://content9.flixster.com/movie/10/84/58/10845847_det.jpg
The Swan Princess,Animation,1994,http://content9.flixster.com/movie/10/89/44/10894435_det.jpg
The Secret of Roan Inish,Children,1994,http://content8.flixster.com/movie/10/88/77/10887722_det.jpg
The Specialist,Action,1994,http://content8.flixster.com/movie/27/73/277302_det.jpg
Stargate,Action,1994,http://content6.flixster.com/movie/26/48/264812_det.jpg
Santa Claus,Comedy,1985,http://content7.flixster.com/movie/25/49/254909_det.jpg
The Shawshank Redemption,Drama,1994,http://content9.flixster.com/movie/11/12/45/11124527_det.jpg
Shallow Grave,Comedy,1994,http://content7.flixster.com/movie/28/27/282713_det.jpg
Fresa y chocolate,Drama,1994,http://content6.flixster.com/movie/10/89/25/10892516_det.jpg
Swimming with Sharks,Comedy,1994,http://content7.flixster.com/movie/27/81/278121_det.jpg
Senior Trip,Comedy,1995,http://content7.flixster.com/movie/10/86/94/10869433_det.jpg
Huozhe,Drama,1994,http://content8.flixster.com/movie/10/97/19/10971966_det.jpg
Tank Girl,Action,1995,http://content8.flixster.com/movie/10/91/40/10914042_det.jpg
Tales from the Crypt: Demon Knight,Horror,1995,http://content9.flixster.com/movie/10/88/79/10887979_det.jpg
Star Trek: Generations,Action,1994,http://content6.flixster.com/movie/10/88/86/10888600_det.jpg
Village of the Damned,Horror,1995,http://content6.flixster.com/movie/11/15/07/11150724_det.jpg
Tommy Boy,Comedy,1995,http://content6.flixster.com/movie/26/58/265820_det.jpg
What's Eating Gilbert Grape,Drama,1993,http://content8.flixster.com/movie/25/42/254226_det.jpg
Virtuosity,Action,1995,http://content7.flixster.com/movie/27/58/275825_det.jpg
While You Were Sleeping,Comedy,1995,http://content7.flixster.com/movie/63/59/09/6359097_det.jpg
War,Adventure,2007,http://content7.flixster.com/movie/10/84/31/10843105_det.jpg
Double Happiness,Drama,1994,http://content9.flixster.com/movie/51/27/62/5127627_det.jpg
Muriel's Wedding,Comedy,1994,http://content7.flixster.com/movie/26/76/267629_det.jpg
The Baby-Sitters Club,Children,1995,http://content6.flixster.com/movie/26/16/261608_det.jpg
Ace Ventura: Pet Detective,Comedy,1994,http://content7.flixster.com/movie/11/14/42/11144273_det.jpg
"The Adventures of Priscilla, Queen of the Desert",Comedy,1994,http://content8.flixster.com/movie/11/15/32/11153218_det.jpg
Backbeat,Drama,1994,http://content7.flixster.com/movie/28/07/280793_det.jpg
Bitter Moon,Drama,1992,http://content8.flixster.com/movie/27/35/273518_det.jpg
Bullets Over Broadway,Comedy,1994,http://content8.flixster.com/movie/26/94/269498_det.jpg
Clear and Present Danger,Action,1994,http://content6.flixster.com/movie/26/52/265216_det.jpg
The Client,Drama,1994,http://content8.flixster.com/movie/26/01/260102_det.jpg
"Corrina, Corrina",Comedy,1994,http://content7.flixster.com/movie/25/88/258897_det.jpg
Crooklyn,Comedy,1994,http://content7.flixster.com/movie/25/71/257101_det.jpg
The Crow,Action,1994,http://content6.flixster.com/movie/10/93/21/10932156_det.jpg
Cobb,Drama,1994,http://content7.flixster.com/movie/27/09/270909_det.jpg
The Flintstones,Children,1994,http://content7.flixster.com/movie/10/87/96/10879629_det.jpg
Forrest Gump,Comedy,1994,http://content7.flixster.com/movie/60/49/71/6049713_det.jpg
Four Weddings and a Funeral,Comedy,1994,http://content7.flixster.com/movie/28/17/281725_det.jpg
Higher Learning,Drama,1995,http://content7.flixster.com/movie/33/06/29/3306293_det.jpg
I Love Trouble,Action,1994,\N
It Could Happen to You,Comedy,1994,http://content9.flixster.com/movie/25/86/258695_det.jpg
The Jungle Book,Adventure,1967,http://content7.flixster.com/movie/25/07/250701_det.jpg
Die Macht der Bilder: Leni Riefenstahl,Documentary,1993,http://content7.flixster.com/movie/29/44/294405_det.jpg
The Lion King,Adventure,1994,http://content7.flixster.com/movie/25/07/250709_det.jpg
Little Buddha,Drama,1993,http://content8.flixster.com/movie/25/64/256422_det.jpg
New Nightmare,Fantasy,1994,http://content7.flixster.com/movie/11/13/01/11130129_det.jpg
The Mask,Action,1994,http://content6.flixster.com/movie/62/33/43/6233432_det.jpg
Maverick,Adventure,1994,http://content7.flixster.com/movie/25/61/256125_det.jpg
Naked Gun 33 1/3: The Final Insult,Action,1994,http://content6.flixster.com/movie/10/93/73/10937364_det.jpg
The Paper,Comedy,1994,http://content9.flixster.com/movie/10/95/42/10954299_det.jpg
Reality Bites,Comedy,1994,http://content6.flixster.com/movie/10/87/05/10870532_det.jpg
Red Rock West,Thriller,1993,http://content6.flixster.com/movie/27/59/275920_det.jpg
Ri¢hie Ri¢h,Children,1994,http://content6.flixster.com/movie/10/94/80/10948008_det.jpg
The River Wild,Action,1994,http://content8.flixster.com/movie/10/92/73/10927394_det.jpg
Speed,Action,1994,http://content6.flixster.com/movie/27/61/276116_det.jpg
Speechless,Comedy,1994,http://content9.flixster.com/movie/11/12/48/11124819_det.jpg
Timecop,Action,1994,http://content6.flixster.com/movie/11/12/53/11125356_det.jpg
True Lies,Action,1994,http://content8.flixster.com/movie/31/37/313714_det.jpg
When a Man Loves a Woman,Drama,1994,http://content6.flixster.com/movie/26/88/268892_det.jpg
Wolf,Drama,1994,http://content7.flixster.com/movie/10/26/03/10260341_det.jpg
Wyatt Earp,Western,1994,http://content7.flixster.com/movie/55/06/10/5506105_det.jpg
Bad Company,Action,2002,http://content6.flixster.com/movie/26/66/266604_det.jpg
A Low Down Dirty Shame,Action,1994,http://content7.flixster.com/movie/27/42/274201_det.jpg
This Boy's Life,Drama,1993,http://content7.flixster.com/movie/10/89/12/10891257_det.jpg
Le colonel Chabert,Drama,1994,http://content6.flixster.com/movie/10/92/93/10929336_det.jpg
"Faster, Pussycat! Kill! Kill!",Action,1965,http://content8.flixster.com/movie/11/69/36/1169362_det.jpg
Street Fighter,Action,1994,http://content9.flixster.com/movie/10/87/27/10872731_det.jpg
Highlander III: The Sorcerer,Action,1994,http://content6.flixster.com/movie/10/94/47/10944768_det.jpg
Federal Hill,Drama,1994,http://content7.flixster.com/movie/28/10/281025_det.jpg
In the Mouth of Madness,Horror,1995,http://content9.flixster.com/movie/10/88/81/10888183_det.jpg
Addams Family Values,Comedy,1993,http://content9.flixster.com/movie/26/62/266215_det.jpg
The Age of Innocence,Drama,1993,\N
Airheads,Comedy,1994,http://content6.flixster.com/movie/26/02/260296_det.jpg
The Air Up There,Comedy,1994,http://content8.flixster.com/movie/10/89/39/10893994_det.jpg
Another Stakeout,Comedy,1993,http://content6.flixster.com/movie/10/88/81/10888176_det.jpg
Vicky Cristina Barcelona,Comedy,2008,http://content7.flixster.com/movie/11/13/43/11134349_det.jpg
The Beverly Hillbillies,Comedy,1993,http://content8.flixster.com/movie/37/13/33/3713338_det.jpg
Beverly Hills Cop III,Action,1994,http://content8.flixster.com/movie/10/84/44/10844414_det.jpg
Black Beauty,Adventure,1994,http://content8.flixster.com/movie/10/93/24/10932426_det.jpg
Blown Away,Action,1994,http://content7.flixster.com/movie/27/66/276629_det.jpg
Blue Chips,Drama,1994,http://content8.flixster.com/movie/26/12/261294_det.jpg
Blue Sky,Drama,1994,http://content8.flixster.com/movie/10/90/79/10907954_det.jpg
Invasion of the Body Snatchers,Horror,1956,http://content8.flixster.com/movie/10/95/44/10954478_det.jpg
Boxing Helena,Drama,1993,http://content8.flixster.com/movie/10/88/01/10880190_det.jpg
A Bronx Tale,Drama,1993,http://content7.flixster.com/movie/10/88/62/10886213_det.jpg
